date,region,product,category,quantity,unit_price,discount,customer_id,channel
2024-01-03,西南,坚果礼盒N8,食品,1,168.0,0.2,C006,线下
2024-01-03,东北,羽绒服M1,服饰,14,1899.0,0.05,C037,线下
2024-01-03,西南,羽绒服M1,服饰,1,1899.0,0.25,C010,线上
2024-01-03,华北,台灯L1,家居,30,199.0,0.2,C017,线上
2024-01-03,华中,蛋白粉F2,食品,7,259.0,0.2,C034,线上
2024-01-03,华南,智能手表Pro,电子产品,22,1299.0,0.1,C032,线上
2024-01-03,华南,平板电脑T10,电子产品,24,2499.0,0.05,C014,线上
2024-01-03,西北,蛋白粉F2,食品,28,259.0,0.15,C031,线上
2024-01-03,华北,休闲裤K5,服饰,17,299.0,0.25,C034,线下
2024-01-03,华中,空气净化器H3,家居,1,1599.0,0.1,C072,线下
2024-01-04,华东,羽绒服M1,服饰,12,1899.0,0.1,C056,线上
2024-01-04,西北,平板电脑T10,电子产品,26,2499.0,0.1,C053,线下
2024-01-04,西南,蓝牙耳机X3,电子产品,8,399.0,0.0,C061,线下
2024-01-04,西北,休闲裤K5,服饰,11,299.0,0.0,C069,线上
2024-01-04,华北,运动鞋A7,服饰,13,599.0,0.0,C025,线上
2024-01-05,,坚果礼盒N8,食品,20,168.0,0.08,C023,线下
2024-01-05,华中,保温杯S2,家居,23,129.0,1.2,C006,线上
2024-01-05,华北,羽绒服M1,服饰,20,1899.0,0.1,C075,线上
2024-01-05,华中,羽绒服M1,服饰,11,1899.0,0.05,C053,线上
2024-01-05,西南,台灯L1,家居,22,199.0,0.0,C022,线下
2024-01-05,华北,坚果礼盒N8,食品,22,168.0,0.0,C009,线上
2024-01-06,西南,蓝牙耳机X3,电子产品,7,399.0,0.1,C074,线上
2024-01-06,西南,台灯L1,家居,15,199.0,0.0,C061,线下
2024-01-06,华东,空气净化器H3,家居,15,1599.0,0.0,C016,线上
2024-01-06,华南,蛋白粉F2,食品,20,259.0,0.15,C057,线下
2024-01-06,西北,坚果礼盒N8,食品,25,168.0,0.05,C014,线上
2024-01-06,西北,运动鞋A7,服饰,5,599.0,0.0,C026,线上
2024-01-07,华东,台灯L1,家居,19,199.0,1.2,C076,线下
2024-01-07,华东,空气净化器H3,家居,24,1599.0,0.0,C052,线上
2024-01-07,华中,保温杯S2,家居,26,129.0,0.08,C070,线下
2024-01-07,华中,蛋白粉F2,食品,25,259.0,0.15,C015,线下
2024-01-07,华北,坚果礼盒N8,食品,23,168.0,0.0,C010,线上
2024-01-07,西南,台灯L1,家居,27,199.0,0.05,C027,线上
2024-01-07,东北,智能手表Pro,电子产品,13,1299.0,0.95,C074,线下
2024-01-07,华东,坚果礼盒N8,食品,25,168.0,0.0,,线下
2024-01-07,华东,平板电脑T10,电子产品,7,2499.0,0.05,C042,线上
2024-01-07,华北,蓝牙耳机X3,电子产品,23,399.0,0.0,C050,线上
2024-01-07,华南,保温杯S2,家居,1,129.0,0.1,C061,线下
2024-01-07,华北,平板电脑T10,电子产品,19,2499.0,0.0,C015,线上
2024-01-08,华南,保温杯S2,家居,6,129.0,0.05,C042,线上
2024-01-08,华南,智能手表Pro,电子产品,500,1299.0,0.08,C048,线上
2024-01-08,西北,蛋白粉F2,食品,13,259.0,0.1,C049,线下
2024-01-08,华中,空气净化器H3,家居,21,1599.0,0.1,C061,线下
2024-01-08,西北,蛋白粉F2,食品,1,259.0,0.08,C072,线下
2024-01-08,西南,蓝牙耳机X3,电子产品,23,399.0,0.0,C059,线下
2024-01-08,华中,羽绒服M1,服饰,25,1899.0,0.05,C069,线下
2024-01-08,华东,运动鞋A7,服饰,28,599.0,0.1,C039,线下
2024-01-08,东北,休闲裤K5,服饰,9,299.0,0.05,C012,线上
2024-01-09,华东,空气净化器H3,家居,10,1599.0,0.05,C074,线下
2024-01-09,东北,羽绒服M1,服饰,13,1899.0,0.05,C009,线上
2024-01-09,华北,台灯L1,家居,18,199.0,0.0,C007,线上
2024-01-09,东北,平板电脑T10,电子产品,3,2499.0,0.0,C039,线上
2024-01-09,西北,保温杯S2,家居,12,129.0,0.05,C075,线上
2024-01-09,西北,蓝牙耳机X3,电子产品,7,399.0,0.0,C024,线上
2024-01-09,华中,台灯L1,家居,27,199.0,0.0,C013,线上
2024-01-09,华南,台灯L1,家居,9,199.0,0.0,C059,线上
2024-01-10,华中,智能手表Pro,电子产品,25,1299.0,0.0,C013,线下
2024-01-10,西北,蛋白粉F2,食品,14,259.0,0.0,C026,线下
2024-01-10,华南,运动鞋A7,服饰,3,599.0,0.1,C059,线下
2024-01-10,西北,空气净化器H3,家居,9,1599.0,0.08,C052,线上
2024-01-10,西北,保温杯S2,家居,1,129.0,0.0,C033,线上
2024-01-10,西南,台灯L1,家居,10,199.0,0.15,C057,线上
2024-01-10,华北,运动鞋A7,服饰,1,599.0,0.05,C021,线上
2024-01-10,华东,平板电脑T10,电子产品,20,2499.0,0.1,C040,线上
2024-01-11,西北,智能手表Pro,电子产品,14,1299.0,0.0,C060,线下
2024-01-11,华南,休闲裤K5,服饰,11,299.0,0.05,C021,线下
2024-01-11,华东,台灯L1,家居,9,199.0,0.0,C041,线上
2024-01-11,华北,羽绒服M1,服饰,21,1899.0,0.15,C056,线下
2024-01-11,东北,坚果礼盒N8,食品,25,168.0,0.15,C006,线上
2024-01-12,西南,空气净化器H3,家居,5,1599.0,0.05,C071,线上
2024-01-12,西南,台灯L1,家居,28,199.0,0.0,C042,线上
2024-01-12,华北,智能手表Pro,电子产品,30,1299.0,0.0,C017,线上
2024-01-12,东北,羽绒服M1,服饰,28,1899.0,0.0,C063,线上
2024-01-12,华东,空气净化器H3,家居,1,1599.0,0.1,C059,线上
2024-01-12,东北,平板电脑T10,电子产品,11,2499.0,0.15,C054,线上
2024-01-12,华北,坚果礼盒N8,食品,5,168.0,0.08,C005,线上
2024-01-12,西南,蓝牙耳机X3,电子产品,16,399.0,0.1,C020,线下
2024-01-12,华中,坚果礼盒N8,食品,10,168.0,0.95,C021,线下
2024-01-12,东北,坚果礼盒N8,食品,21,168.0,0.1,C041,线上
2024-01-12,华东,保温杯S2,家居,23,129.0,0.15,C061,线上
2024-01-12,西南,蓝牙耳机X3,电子产品,11,399.0,0.08,C034,线下
2024-01-13,华中,休闲裤K5,服饰,23,299.0,0.0,C055,线上
2024-01-13,西北,羽绒服M1,服饰,29,1899.0,0.0,C060,线上
2024-01-13,西北,运动鞋A7,服饰,8,599.0,0.1,C037,线下
2024-01-13,西南,休闲裤K5,服饰,14,299.0,0.08,C068,线上
2024-01-13,西南,蓝牙耳机X3,电子产品,29,399.0,0.0,C039,线上
2024-01-13,东北,蛋白粉F2,食品,16,259.0,0.08,C031,线上
2024-01-14,西南,运动鞋A7,服饰,11,599.0,0.08,C072,线上
2024-01-14,西北,休闲裤K5,服饰,19,299.0,0.05,C034,线下
2024-01-14,华中,运动鞋A7,服饰,21,599.0,0.0,C018,线上
2024-01-14,华北,蓝牙耳机X3,电子产品,19,399.0,0.0,C046,线上
2024-01-14,西南,坚果礼盒N8,食品,999,168.0,0.0,C072,线下
2024-01-14,华北,台灯L1,家居,22,199.0,0.1,C048,线上
2024-01-14,西北,羽绒服M1,服饰,15,1899.0,0.0,C015,线下
2024-01-14,华东,空气净化器H3,家居,3,1599.0,0.0,C017,线上
2024-01-14,西南,坚果礼盒N8,食品,28,168.0,0.1,C073,线上
2024-01-14,东北,空气净化器H3,家居,25,1599.0,0.15,C037,线下
2024-01-14,西北,羽绒服M1,服饰,2,1899.0,0.0,C018,线上
2024-01-14,华南,台灯L1,家居,27,199.0,0.0,C035,线上
2024-01-15,东北,平板电脑T10,电子产品,9,2499.0,0.15,C001,线下
2024-01-15,华南,坚果礼盒N8,食品,7,168.0,0.0,C036,线上
2024-01-15,西北,运动鞋A7,服饰,2,599.0,0.15,C003,线下
2024-01-15,西南,运动鞋A7,服饰,28,599.0,0.0,C031,线上
2024-01-15,西北,保温杯S2,家居,20,129.0,0.05,C063,线上
2024-01-15,华东,运动鞋A7,服饰,7,599.0,0.08,C071,线下
2024-01-15,华东,平板电脑T10,电子产品,5,2499.0,0.0,C004,线下
2024-01-16,华南,平板电脑T10,电子产品,17,2499.0,0.0,C054,线上
2024-01-16,西北,台灯L1,家居,17,199.0,0.0,C077,线上
2024-01-16,华东,空气净化器H3,家居,20,1599.0,0.0,C042,线下
2024-01-16,华中,台灯L1,家居,8,199.0,0.08,C065,线上
2024-01-16,华南,台灯L1,家居,2,199.0,0.05,C004,线上
2024-01-17,东北,休闲裤K5,服饰,19,299.0,0.08,C008,线上
2024-01-17,西北,平板电脑T10,电子产品,12,2499.0,0.15,C014,线上
2024-01-17,西北,坚果礼盒N8,食品,24,168.0,0.15,C071,线下
2024-01-17,东北,坚果礼盒N8,食品,10,168.0,0.08,C007,线上
2024-01-17,西北,平板电脑T10,电子产品,3,2499.0,0.15,C009,线下
2024-01-17,东北,休闲裤K5,服饰,24,299.0,0.0,C054,线上
2024-01-18,东北,运动鞋A7,服饰,14,599.0,0.0,C045,线上
2024-01-18,华东,蛋白粉F2,食品,15,259.0,0.1,C035,线下
2024-01-18,华南,平板电脑T10,电子产品,25,2499.0,0.08,C042,线上
2024-01-18,华南,羽绒服M1,服饰,16,1899.0,0.1,C001,线上
2024-01-18,西南,坚果礼盒N8,食品,3,168.0,0.1,C004,线上
2024-01-18,华东,羽绒服M1,服饰,30,1899.0,0.0,C040,线上
2024-01-18,华南,坚果礼盒N8,食品,20,168.0,0.95,C051,线上
2024-01-18,东北,保温杯S2,家居,20,129.0,0.1,C080,线上
2024-01-19,东北,休闲裤K5,服饰,21,299.0,0.0,C066,线上
2024-01-19,华中,台灯L1,家居,3,199.0,0.05,,线下
2024-01-19,华南,智能手表Pro,电子产品,15,1299.0,0.15,C080,线上
2024-01-19,华东,坚果礼盒N8,食品,15,168.0,0.15,C064,线上
2024-01-19,西北,休闲裤K5,服饰,8,299.0,0.0,C019,线下
2024-01-19,西北,蛋白粉F2,食品,11,259.0,0.15,C080,线下
2024-01-19,东北,蓝牙耳机X3,电子产品,19,399.0,0.05,C055,线上
2024-01-19,华北,蓝牙耳机X3,电子产品,17,399.0,0.0,C052,线上
2024-01-20,西北,休闲裤K5,服饰,2,299.0,0.0,C023,线上
2024-01-20,华东,智能手表Pro,电子产品,3,1299.0,0.1,C037,线上
2024-01-20,华北,蛋白粉F2,食品,13,259.0,0.05,C037,线上
2024-01-20,东北,羽绒服M1,服饰,25,1899.0,,C065,线下
2024-01-20,西北,坚果礼盒N8,食品,4,168.0,0.08,C043,线上
2024-01-20,东北,休闲裤K5,服饰,3,299.0,0.1,,线上
2024-01-20,华北,坚果礼盒N8,食品,17,168.0,0.0,C061,线上
2024-01-20,西北,坚果礼盒N8,食品,20,168.0,0.1,C017,线下
2024-01-20,西北,空气净化器H3,家居,19,1599.0,0.0,C036,线上
2024-01-20,华中,坚果礼盒N8,食品,3,168.0,0.08,C043,线下
2024-01-20,华北,羽绒服M1,服饰,25,1899.0,0.05,C044,线下
2024-01-20,西南,台灯L1,家居,26,199.0,0.1,C071,线上
2024-01-21,西南,空气净化器H3,家居,1,1599.0,0.0,C011,线下
2024-01-21,华北,空气净化器H3,家居,26,1599.0,0.15,C040,线上
2024-01-21,西北,平板电脑T10,电子产品,12,2499.0,0.1,C053,线上
2024-01-21,华中,保温杯S2,家居,3,129.0,0.0,C050,线上
2024-01-21,华北,蛋白粉F2,食品,6,259.0,0.0,C020,线上
2024-01-21,华南,坚果礼盒N8,食品,2,168.0,0.0,C018,线下
2024-01-21,东北,运动鞋A7,服饰,2,599.0,0.1,C033,线下
2024-01-21,华东,保温杯S2,家居,27,129.0,0.05,C029,线下
2024-01-21,东北,台灯L1,家居,25,199.0,0.0,C011,线上
2024-01-21,西南,蛋白粉F2,食品,25,259.0,0.05,C037,线上
2024-01-22,东北,智能手表Pro,电子产品,4,1299.0,0.15,C035,线下
2024-01-22,华东,空气净化器H3,家居,9,1599.0,0.8,C048,线下
2024-01-22,华东,蓝牙耳机X3,电子产品,20,399.0,1.2,C064,线下
2024-01-22,西南,羽绒服M1,服饰,8,1899.0,0.08,C046,线上
2024-01-22,东北,蓝牙耳机X3,电子产品,4,399.0,0.0,C039,线上
2024-01-22,东北,保温杯S2,家居,2,129.0,0.15,C033,线上
2024-01-22,西南,坚果礼盒N8,食品,21,168.0,0.0,C062,线下
2024-01-22,华南,保温杯S2,家居,23,129.0,0.05,C064,线下
2024-01-22,华东,坚果礼盒N8,食品,5,168.0,0.0,C043,线下
2024-01-22,华东,休闲裤K5,服饰,17,299.0,0.15,C070,线下
2024-01-22,华东,空气净化器H3,家居,26,1599.0,0.0,C006,线上
2024-01-23,华南,空气净化器H3,家居,19,1599.0,0.0,C010,线上
2024-01-23,华东,平板电脑T10,电子产品,12,2499.0,0.05,C047,线上
2024-01-23,西南,羽绒服M1,服饰,6,1899.0,0.1,C055,线下
2024-01-23,华中,休闲裤K5,服饰,21,299.0,0.15,C036,线下
2024-01-23,华东,保温杯S2,家居,18,129.0,0.0,C024,线上
2024-01-23,华中,休闲裤K5,服饰,1,299.0,0.0,C021,线下
2024-01-24,华北,空气净化器H3,家居,23,1599.0,0.05,C037,线下
2024-01-24,西北,平板电脑T10,电子产品,26,2499.0,0.1,C012,线上
2024-01-24,华东,蓝牙耳机X3,电子产品,17,399.0,0.05,C064,线下
2024-01-24,华中,休闲裤K5,服饰,26,299.0,0.0,C026,线上
2024-01-24,西南,空气净化器H3,家居,5,1599.0,0.15,C045,线下
2024-01-24,华南,蛋白粉F2,食品,5,259.0,0.08,C071,线上
2024-01-24,华中,蓝牙耳机X3,电子产品,28,399.0,0.0,C039,线上
2024-01-24,华中,空气净化器H3,家居,27,1599.0,0.08,C053,线上
2024-01-25,华南,台灯L1,家居,16,199.0,0.1,C039,线下
2024-01-25,华中,保温杯S2,家居,27,129.0,0.08,C008,线下
2024-01-25,西南,平板电脑T10,电子产品,16,2499.0,0.15,C060,线下
2024-01-25,西南,运动鞋A7,服饰,8,599.0,0.1,C058,线上
2024-01-25,东北,坚果礼盒N8,食品,25,168.0,0.2,C027,线上
2024-01-25,华南,台灯L1,家居,20,199.0,0.08,C039,线上
2024-01-25,西北,蓝牙耳机X3,电子产品,14,399.0,0.2,C057,线上
2024-01-25,华南,运动鞋A7,服饰,29,599.0,0.15,C067,线下
2024-01-25,华北,平板电脑T10,电子产品,11,2499.0,0.08,C078,线下
2024-01-25,西北,休闲裤K5,服饰,13,299.0,0.1,C045,线下
2024-01-25,西南,蛋白粉F2,食品,27,259.0,0.15,C021,线上
2024-01-26,华北,运动鞋A7,服饰,2,599.0,0.15,C007,线上
2024-01-26,西南,智能手表Pro,电子产品,14,1299.0,0.1,C020,线上
2024-01-26,华中,智能手表Pro,电子产品,19,1299.0,0.1,C075,线上
2024-01-26,西南,平板电脑T10,电子产品,18,2499.0,0.15,C044,线下
2024-01-26,华南,空气净化器H3,家居,14,1599.0,0.1,C014,线上
2024-01-26,东北,空气净化器H3,家居,22,1599.0,0.08,C080,线上
2024-01-26,西北,智能手表Pro,电子产品,18,1299.0,0.15,C027,线上
2024-01-26,华中,休闲裤K5,服饰,7,299.0,0.2,C019,线下
2024-01-26,西北,蛋白粉F2,食品,11,259.0,0.2,C076,线下
2024-01-26,华东,休闲裤K5,服饰,18,299.0,0.1,C073,线上
2024-01-26,西北,坚果礼盒N8,食品,5,168.0,0.1,C049,线下
2024-01-26,华南,休闲裤K5,服饰,19,299.0,0.15,C054,线下
2024-01-26,东北,休闲裤K5,服饰,5,299.0,0.1,C059,线上
2024-01-27,华南,休闲裤K5,服饰,1,299.0,0.15,C074,线上
2024-01-27,华中,羽绒服M1,服饰,9,1899.0,0.15,C032,线上
2024-01-27,华中,坚果礼盒N8,食品,2,168.0,0.08,C030,线上
2024-01-27,华南,羽绒服M1,服饰,13,1899.0,0.2,C070,线上
2024-01-27,华东,羽绒服M1,服饰,20,1899.0,0.08,C073,线上
2024-01-27,西北,空气净化器H3,家居,1,1599.0,0.15,C024,线上
2024-01-27,华南,台灯L1,家居,5,199.0,0.08,C035,线下
2024-01-27,华南,休闲裤K5,服饰,21,299.0,0.1,C012,线下
2024-01-27,华东,羽绒服M1,服饰,12,1899.0,0.2,C011,线上
2024-01-27,西北,羽绒服M1,服饰,11,1899.0,0.2,C063,线上
2024-01-27,西南,平板电脑T10,电子产品,30,2499.0,0.08,C023,线下
2024-01-27,西南,蓝牙耳机X3,电子产品,22,399.0,0.15,C052,线上
2024-01-27,华中,坚果礼盒N8,食品,28,168.0,0.2,C018,线上
2024-01-27,华中,平板电脑T10,电子产品,27,2499.0,0.2,C052,线下
2024-01-27,华东,平板电脑T10,电子产品,14,2499.0,0.2,C021,线下
2024-01-27,华北,平板电脑T10,电子产品,1,2499.0,0.15,C032,线上
2024-01-28,华北,蛋白粉F2,食品,16,259.0,0.0,C018,线上
2024-01-28,西南,蛋白粉F2,食品,15,259.0,0.15,C066,线上
2024-01-28,华南,保温杯S2,家居,15,129.0,0.15,C049,线下
2024-01-28,华中,运动鞋A7,服饰,11,599.0,0.15,C022,线上
2024-01-28,华东,蛋白粉F2,食品,23,259.0,0.0,C045,线上
2024-01-28,西南,台灯L1,家居,25,199.0,0.0,C028,线下
2024-01-28,华东,蛋白粉F2,食品,24,259.0,0.0,C040,线上
2024-01-28,华东,空气净化器H3,家居,25,1599.0,0.0,C024,线上
2024-01-28,东北,坚果礼盒N8,食品,4,168.0,0.0,C045,线上
2024-01-28,西南,台灯L1,家居,3,199.0,0.08,C047,线上
2024-01-29,华北,运动鞋A7,服饰,9,599.0,0.0,C020,线上
2024-01-29,东北,坚果礼盒N8,食品,29,168.0,0.0,C039,线上
2024-01-29,西南,坚果礼盒N8,食品,8,168.0,0.0,C003,线下
2024-01-29,西北,坚果礼盒N8,食品,24,168.0,0.0,C032,线下
2024-01-29,华北,智能手表Pro,电子产品,8,1299.0,0.15,C038,线上
2024-01-29,华东,羽绒服M1,服饰,29,1899.0,0.1,C076,线上
2024-01-29,东北,智能手表Pro,电子产品,15,1299.0,0.1,C039,线上
2024-01-29,华东,空气净化器H3,家居,26,1599.0,0.08,C049,线下
2024-01-30,东北,平板电脑T10,电子产品,28,2499.0,0.0,C031,线上
2024-01-30,华东,平板电脑T10,电子产品,19,2499.0,0.1,C075,线上
2024-01-30,华北,空气净化器H3,家居,13,1599.0,0.0,C027,线下
2024-01-30,华北,空气净化器H3,家居,10,1599.0,0.0,C043,线下
2024-01-30,西北,台灯L1,家居,12,199.0,0.08,C034,线上
2024-01-30,华中,保温杯S2,家居,18,129.0,0.1,C064,线下
2024-01-30,西北,空气净化器H3,家居,15,1599.0,0.0,C063,线下
2024-01-30,华中,坚果礼盒N8,食品,7,168.0,0.15,C010,线下
2024-01-30,东北,空气净化器H3,家居,12,1599.0,0.0,C027,线下
2024-01-30,华东,坚果礼盒N8,食品,3,168.0,0.08,C048,线下
2024-01-30,华中,智能手表Pro,电子产品,18,1299.0,0.08,C054,线上
2024-01-31,华中,平板电脑T10,电子产品,17,2499.0,0.0,C008,线下
2024-01-31,,智能手表Pro,电子产品,27,1299.0,0.1,C018,线上
2024-01-31,华东,平板电脑T10,电子产品,21,2499.0,0.15,C056,线上
2024-01-31,华北,蛋白粉F2,食品,10,259.0,0.1,C029,线下
2024-01-31,,坚果礼盒N8,食品,13,168.0,0.05,C052,线上
2024-01-31,华中,台灯L1,家居,30,199.0,0.15,C023,线下
2024-01-31,华东,智能手表Pro,电子产品,1,1299.0,0.0,C053,线上
2024-01-31,华东,保温杯S2,家居,8,129.0,0.08,C073,线上
2024-01-31,西南,台灯L1,家居,21,199.0,0.1,C080,线上
2024-01-31,华东,台灯L1,家居,16,199.0,0.0,C073,线上
2024-01-31,华中,运动鞋A7,服饰,9,599.0,0.15,C046,线上
2024-01-31,华中,智能手表Pro,电子产品,26,1299.0,0.0,C056,线下
