=== Harness Eval: Configuring ccr ===
ccr config written.
git workspace initialized.
=== Starting ccr service ===
Loaded JSON config from: /home/agent/.claude-code-router/config.json
=== Starting model proxy ===
Model proxy listening on 127.0.0.1:3457, forwarding to CCR on 3456
Provider proxy listening on 127.0.0.1:3458, upstream effort=high
=== Starting Claude Code ===
[req #1] 2275ms | in=327 out=79 (api)
[req #133] 8211ms | in=107799 out=191 (api)
[req #134] 7784ms | in=108221 out=147 (api)
[req #135] 5815ms | in=108396 out=32 (api)
[req #136] 6626ms | in=108458 out=32 (api)
[req #137] 7798ms | in=108553 out=122 (api)
[req #138] 6932ms | in=109026 out=58 (api)
[req #139] 8366ms | in=109320 out=199 (api)
[req #140] 16265ms | in=109552 out=406 (api)
[req #141] 6616ms | in=109990 out=36 (api)
[req #142] 6972ms | in=110035 out=85 (api)
[req #143] 1ms | in=1340 out=0 (estimated) [RETRY]
[req #144] 5869ms | in=110162 out=33 (api)
[req #145] 8078ms | in=110259 out=100 (api)
[req #146] 1ms | in=1344 out=0 (estimated) [RETRY]
[req #147] 7135ms | in=110578 out=72 (api)
[req #148] 7867ms | in=110762 out=107 (api)
[req #149] 8540ms | in=111500 out=108 (api)
[req #150] 7801ms | in=111618 out=131 (api)
[req #151] 7336ms | in=111788 out=84 (api)
[req #152] 7647ms | in=111914 out=54 (api)
[req #153] 8820ms | in=112955 out=160 (api)
[req #154] 7075ms | in=113152 out=36 (api)
[req #155] 6317ms | in=113434 out=33 (api)
[req #156] 10103ms | in=113669 out=96 (api)
[req #157] 7824ms | in=113798 out=140 (api)
[req #158] 7421ms | in=113977 out=66 (api)
[req #159] 9065ms | in=114337 out=142 (api)
[req #160] 1ms | in=341 out=0 (estimated) [RETRY]
[req #161] 7061ms | in=114517 out=40 (api)
[req #162] 10807ms | in=114674 out=265 (api)
[req #163] 7720ms | in=115129 out=156 (api)
[req #164] 6220ms | in=115329 out=34 (api)
[req #165] 6892ms | in=115452 out=66 (api)
[req #166] 6998ms | in=115528 out=94 (api)
[req #167] 9048ms | in=115686 out=163 (api)
[req #168] 8859ms | in=115881 out=218 (api)
[req #169] 8735ms | in=116105 out=111 (api)
[req #170] 14619ms | in=116711 out=583 (api)
=== Task completed ===
